         13112373 function calls (12939735 primitive calls) in 8.600 seconds

   Ordered by: cumulative time
   List reduced from 1409 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.001    0.000    8.692    0.869 /home/josef/Projects/FluxSwarm/RL.py:180(step)
       10    0.003    0.000    8.624    0.862 /home/josef/Projects/FluxSwarm/simulation.py:93(step)
       10    0.001    0.000    3.692    0.369 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phi/physics/fluid.py:94(make_incompressible)
      450    0.001    0.000    3.625    0.008 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phi/field/_field.py:123(sampled_elements)
      190    0.002    0.000    3.619    0.019 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phi/field/_field.py:871(get_faces)
      310    0.002    0.000    3.067    0.010 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phi/field/_field.py:26(__call__)
3170/1840    0.048    0.000    3.066    0.002 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phiml/math/_magic_ops.py:85(stack)
11000/2560    0.027    0.000    2.929    0.001 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phiml/math/_tree.py:494(slice_)
     1400    0.014    0.000    2.838    0.002 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phi/geom/_grid.py:161(__getitem__)
1521/1261    0.002    0.000    2.789    0.002 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phiml/math/magic.py:558(__getitem__)
      350    0.002    0.000    2.741    0.008 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phi/field/_field.py:83(__post_init__)
     2800    0.003    0.000    2.425    0.001 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phiml/dataclasses/_dataclasses.py:34(__dataclass_getitem__)
19821/8381    0.106    0.000    2.424    0.000 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phiml/math/_tensors.py:422(__getitem__)
     2800    0.019    0.000    2.422    0.001 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phiml/dataclasses/_dataclasses.py:241(getitem)
2700/1540    0.004    0.000    2.342    0.002 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phiml/math/_tree.py:89(__getitem__)
2700/1540    0.011    0.000    2.323    0.002 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phiml/math/_tree.py:95(_getitem)
  820/250    0.007    0.000    2.320    0.009 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phiml/math/_ops.py:266(slice_off)
      220    0.002    0.000    2.302    0.010 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phi/geom/_geom.py:793(slice_off_constant_faces)
      370    0.002    0.000    2.244    0.006 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phi/geom/_grid.py:190(__stack__)
2700/1540    0.003    0.000    2.236    0.001 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phiml/math/_tree.py:130(_getitem_recursive)
8420/8220    0.134    0.000    2.088    0.000 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phiml/math/_ops.py:887(stack_tensors)
       10    0.000    0.000    1.779    0.178 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phiml/math/_optimize.py:517(solve_linear)
   100/60    0.002    0.000    1.748    0.029 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phi/field/_resample.py:75(sample)
       10    0.000    0.000    1.738    0.174 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phiml/math/_functional.py:959(__call__)
      370    0.004    0.000    1.723    0.005 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phi/geom/_geom_ops.py:31(__post_init__)
       10    0.000    0.000    1.722    0.172 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phiml/backend/torch/_torch_backend.py:257(select_jit)
       10    0.000    0.000    1.722    0.172 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/torch/autograd/function.py:567(apply)
       10    0.000    0.000    1.721    0.172 {built-in method apply}
       10    0.000    0.000    1.721    0.172 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phiml/backend/torch/_torch_backend.py:1235(forward)
       10    0.000    0.000    1.721    0.172 /home/josef/anaconda3/envs/fluxswarm/lib/python3.11/site-packages/phiml/math/_functional.py:925(forward_native)


